                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.50792,                0.36218,                0.93318,                0.99877,                0.99346,                  0.995,                0.91168,                0.47095,                0.31073,                 0.9109,              0.0011288,              0.0011288,              0.0011288
                     47,                 0.5016,                0.35265,                0.93538,                 0.9892,                0.98039,                0.99351,                0.88904,                0.50762,                0.32111,                0.98033,               0.001109,               0.001109,               0.001109
                     48,                0.51545,                0.36764,                0.95195,                0.97427,                0.98986,                0.99395,                0.83051,                 0.6362,                0.39425,                 1.0016,              0.0010892,              0.0010892,              0.0010892
                     49,                0.52446,                0.36505,                0.95295,                0.97993,                      1,                0.99468,                0.91207,                0.49634,                 0.3253,                0.92311,              0.0010694,              0.0010694,              0.0010694
                     50,                0.48969,                0.35294,                0.93962,                0.98075,                0.99883,                0.99454,                0.89801,                0.51061,                0.32908,                0.92429,              0.0010496,              0.0010496,              0.0010496
                     51,                0.49667,                 0.3494,                0.93684,                0.97261,                0.99346,                0.99422,                0.90014,                0.50889,                0.34366,                0.91337,              0.0010298,              0.0010298,              0.0010298
                     52,                0.50474,                0.36736,                0.92909,                0.99331,                0.99346,                0.99493,                0.91391,                0.46857,                0.31308,                0.89068,                0.00101,                0.00101,                0.00101
                     53,                0.47831,                0.34305,                0.91446,                0.99346,                0.99337,                0.99467,                0.90589,                0.48335,                 0.3252,                0.89618,              0.0009902,              0.0009902,              0.0009902
                     54,                0.47432,                 0.3344,                0.92026,                0.98075,                0.99915,                0.99362,                0.90582,                0.47442,                0.30719,                0.89913,              0.0009704,              0.0009704,              0.0009704
                     55,                0.47324,                0.33666,                0.91254,                0.99346,                0.99225,                0.99493,                0.90925,                0.46474,                0.29975,                0.89805,              0.0009506,              0.0009506,              0.0009506
                     56,                0.47654,                0.33367,                0.93205,                0.99592,                0.98693,                0.99493,                0.91973,                0.47344,                0.31063,                0.89222,              0.0009308,              0.0009308,              0.0009308
                     57,                0.48903,                0.33678,                0.92842,                0.99325,                0.99346,                0.99493,                0.91547,                0.45671,                0.30114,                0.88332,               0.000911,               0.000911,               0.000911
                     58,                 0.4838,                0.33214,                0.92292,                0.99346,                0.99295,                0.99493,                0.92817,                0.47436,                 0.2971,                0.89214,              0.0008912,              0.0008912,              0.0008912
                     59,                0.47595,                0.33494,                0.92613,                      1,                0.98524,                0.99474,                0.91694,                0.48522,                0.30336,                0.90572,              0.0008714,              0.0008714,              0.0008714
                     60,                0.46215,                 0.3231,                0.91491,                0.97095,                      1,                0.99091,                0.83125,                 0.6676,                0.37664,                 1.0564,              0.0008516,              0.0008516,              0.0008516
                     61,                 0.4719,                0.32876,                0.93549,                0.99198,                0.99346,                0.99467,                0.91949,                0.47218,                0.29325,                0.90279,              0.0008318,              0.0008318,              0.0008318
                     62,                0.46588,                0.32183,                0.92284,                0.99171,                0.99346,                 0.9948,                0.92918,                 0.4429,                0.28601,                 0.8835,               0.000812,               0.000812,               0.000812
                     63,                0.46383,                  0.319,                0.91753,                0.98618,                0.99346,                0.99454,                0.91664,                0.44964,                0.28857,                0.89062,              0.0007922,              0.0007922,              0.0007922
                     64,                0.45245,                0.31263,                0.91037,                0.99345,                 0.9919,                0.99461,                0.91559,                0.45077,                0.31189,                0.88361,              0.0007724,              0.0007724,              0.0007724
                     65,                0.44871,                0.31629,                0.90791,                0.98682,                0.99346,                0.99467,                0.92416,                0.46228,                0.30492,                0.88796,              0.0007526,              0.0007526,              0.0007526
                     66,                0.44674,                0.31984,                0.91429,                0.99277,                0.99346,                0.99493,                 0.9287,                0.43435,                0.28533,                0.87915,              0.0007328,              0.0007328,              0.0007328
                     67,                0.44873,                0.31631,                0.91943,                      1,                 0.9997,                  0.995,                0.92419,                0.44999,                0.28901,                0.88512,               0.000713,               0.000713,               0.000713
                     68,                0.44471,                0.30926,                0.91145,                0.99929,                      1,                  0.995,                0.93801,                0.42983,                0.27191,                0.88917,              0.0006932,              0.0006932,              0.0006932
                     69,                0.42123,                0.29323,                  0.899,                0.99966,                      1,                  0.995,                0.93293,                0.44202,                0.27203,                0.88139,              0.0006734,              0.0006734,              0.0006734
                     70,                0.43163,                0.29251,                0.89954,                      1,                0.99076,                  0.995,                0.93861,                0.43485,                0.27672,                0.88304,              0.0006536,              0.0006536,              0.0006536
                     71,                0.41799,                0.28773,                0.88764,                0.99346,                0.99233,                0.99448,                0.93517,                0.44137,                0.28235,                   0.88,              0.0006338,              0.0006338,              0.0006338
                     72,                0.42917,                0.29803,                0.90763,                0.99327,                0.99346,                0.99448,                0.93836,                0.41382,                0.28253,                0.87381,               0.000614,               0.000614,               0.000614
                     73,                 0.4342,                0.29737,                0.91703,                0.98691,                      1,                0.99461,                0.93682,                0.43336,                0.27357,                0.87783,              0.0005942,              0.0005942,              0.0005942
                     74,                0.41878,                0.28913,                0.89514,                      1,                0.99876,                  0.995,                0.92637,                0.44819,                0.27067,                0.89866,              0.0005744,              0.0005744,              0.0005744
                     75,                0.41377,                0.29393,                0.88799,                0.99936,                      1,                  0.995,                0.92793,                0.44863,                0.26544,                0.89573,              0.0005546,              0.0005546,              0.0005546
                     76,                0.41801,                0.29699,                0.89937,                0.99958,                      1,                  0.995,                0.93341,                0.43106,                 0.2586,                0.87381,              0.0005348,              0.0005348,              0.0005348
                     77,                0.42716,                0.28515,                0.89767,                      1,                0.99843,                  0.995,                 0.9254,                 0.4375,                0.26297,                0.87606,               0.000515,               0.000515,               0.000515
